epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,4614.63,0.60621,3.8702,0.33343,0.42689,1.12908,0.96374,0.98335,0.98388,0.88461,0.89347,0.87434,0.879,0.39259,0.49678,2.91569,0.36279,0.29568,1.07829,0.001486,0.001486,0.001486
88,4665.65,0.6061,3.84969,0.33202,0.42303,1.13357,0.96624,0.98356,0.98377,0.88649,0.89313,0.87842,0.88373,0.3934,0.4952,2.90776,0.36311,0.29309,1.07547,0.001387,0.001387,0.001387
89,4715.38,0.59688,3.81546,0.33092,0.40941,1.12577,0.96431,0.98358,0.98438,0.88733,0.89721,0.87962,0.88671,0.39478,0.49321,2.89824,0.36299,0.29287,1.07292,0.001288,0.001288,0.001288
90,4764.69,0.59131,3.75214,0.33039,0.4116,1.12032,0.9658,0.97846,0.98432,0.88941,0.89754,0.88471,0.88994,0.39797,0.49041,2.8964,0.36263,0.29227,1.07015,0.001189,0.001189,0.001189
91,4854.94,0.43253,2.84368,0.37999,0.28708,1.03938,0.96952,0.97886,0.9842,0.88607,0.89688,0.88373,0.88128,0.39342,0.48715,2.89291,0.35895,0.29296,1.0677,0.00109,0.00109,0.00109
92,4903.82,0.4131,2.79775,0.37738,0.2677,1.02164,0.96811,0.97827,0.9846,0.88816,0.89252,0.89236,0.88177,0.3894,0.48251,2.88697,0.35568,0.28887,1.06335,0.000991,0.000991,0.000991
93,4951.51,0.40572,2.74534,0.3746,0.25946,1.01932,0.96927,0.98163,0.98549,0.88922,0.89472,0.88667,0.88756,0.394,0.48052,2.8773,0.35316,0.2864,1.0623,0.000892,0.000892,0.000892
94,4999.61,0.40216,2.71888,0.3737,0.2572,1.011,0.96623,0.98238,0.98572,0.89128,0.89235,0.88432,0.88619,0.39939,0.4786,2.87063,0.35188,0.28411,1.06056,0.000793,0.000793,0.000793
95,5046.95,0.39182,2.68799,0.37207,0.25063,1.00189,0.96648,0.98206,0.98595,0.89353,0.89821,0.8855,0.88815,0.40137,0.47704,2.86326,0.3511,0.28337,1.05835,0.000694,0.000694,0.000694
96,5093.97,0.38858,2.6528,0.37266,0.24669,1.00287,0.9676,0.98218,0.98642,0.89557,0.90049,0.88608,0.89122,0.40493,0.47517,2.85387,0.35067,0.28077,1.05656,0.000595,0.000595,0.000595
97,5141.64,0.38418,2.63081,0.36973,0.24419,0.99812,0.9731,0.97711,0.98686,0.89551,0.90188,0.88784,0.89389,0.40633,0.47556,2.84803,0.34961,0.28023,1.05618,0.000496,0.000496,0.000496
98,5188.82,0.37546,2.61288,0.37168,0.24094,0.99365,0.96654,0.98391,0.98725,0.89599,0.90227,0.88784,0.89549,0.40638,0.47434,2.83964,0.34905,0.2801,1.05501,0.000397,0.000397,0.000397
99,5236.8,0.37546,2.57567,0.36975,0.23742,0.98568,0.967,0.98356,0.98746,0.89637,0.90215,0.8855,0.89351,0.40713,0.47495,2.83597,0.3487,0.27981,1.05606,0.000298,0.000298,0.000298
100,5284.56,0.37496,2.58512,0.37129,0.23938,0.98976,0.96647,0.98415,0.9875,0.89668,0.9034,0.88414,0.89337,0.40767,0.47427,2.83492,0.34837,0.27977,1.05522,0.000199,0.000199,0.000199
